Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
JC_commercialDoorDoubleV3Orange_NoBarricade,blocks,block,,,Orange Commercial Double Door V3 (No Barricade),,Orangee Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Naranja V3 (Sin Barricada),Double porte de commerce Orangehe V3 (Sans Barrière),Porta di emergenza doppia Arancione V3 (Senza Barriera),業務用ダブルドア V3（オレンジ） (バリケードなし),오렌지색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Pomarańczowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Оранжевый двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Turuncu Ticari Kapı V3 (Barikat Yok),橙色商业双开门 V3 (无障碍),橙色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Pink_NoBarricade,blocks,block,,,Pink Commercial Double Door V3 (No Barricade),,Rosae Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Rosa V3 (Sin Barricada),Double porte de commerce Rosehe V3 (Sans Barrière),Porta di emergenza doppia Rosa V3 (Senza Barriera),業務用ダブルドア V3（ピンク） (バリケードなし),분홍색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Różowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Розовый двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Pembe Ticari Kapı V3 (Barikat Yok),粉色商业双开门 V3 (无障碍),粉紅色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Purple_NoBarricade,blocks,block,,,Purple Commercial Double Door V3 (No Barricade),,Lilae Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Púrpura V3 (Sin Barricada),Double porte de commerce Violethe V3 (Sans Barrière),Porta di emergenza doppia Viola V3 (Senza Barriera),業務用ダブルドア V3（紫） (バリケードなし),보라색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Fioletowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Фиолетовый двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Mor Ticari Kapı V3 (Barikat Yok),紫色商业双开门 V3 (无障碍),紫色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Red_NoBarricade,blocks,block,,,Red Commercial Double Door V3 (No Barricade),,Rote Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Rojo V3 (Sin Barricada),Double porte de commerce Rougehe V3 (Sans Barrière),Porta di emergenza doppia Rosso V3 (Senza Barriera),業務用ダブルドア V3（赤） (バリケードなし),빨간색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Czerwony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Красный двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Kırmızı Ticari Kapı V3 (Barikat Yok),红色商业双开门 V3 (无障碍),紅色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3White_NoBarricade,blocks,block,,,White Commercial Double Door V3 (No Barricade),,Weiße Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Blanco V3 (Sin Barricada),Double porte de commerce Blanche V3 (Sans Barrière),Porta di emergenza doppia Bianco V3 (Senza Barriera),業務用ダブルドア V3（白） (バリケードなし),흰색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Biały, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Белый двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V3 (Barikat Yok),白色商业双开门 V3 (无障碍),白色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV3Yellow_NoBarricade,blocks,block,,,Yellow Commercial Double Door V3 (No Barricade),,Gelbe Industriedoppeltür V3 (Ohne Barrikade),Puerta doble comercial Amarillo V3 (Sin Barricada),Double porte de commerce Jaunehe V3 (Sans Barrière),Porta di emergenza doppia Giallo V3 (Senza Barriera),業務用ダブルドア V3（黄色） (バリケードなし),노란색 상업용 이중문 V3 (방어막 없음),"Drzwi przedsiębiorstwa V3 – Żółty, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V3 (Sem Barreira),Жёлтый двойная промышленная дверь V3 (Без Баррикады),Çift Kanatlı Sarı Ticari Kapı V3 (Barikat Yok),黄色商业双开门 V3 (无障碍),黃色商業雙門 V3 (無障礙)
JC_commercialDoorDoubleV4Blue_NoBarricade,blocks,block,,,Blue Commercial Double Door V4 (No Barricade),,Blaue Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Azul V4 (Sin Barricada),Double porte de commerce Bleuhe V4 (Sans Barrière),Porta di emergenza doppia Blu V4 (Senza Barriera),業務用ダブルドア V4（青） (バリケードなし),파란색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Niebieski, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Синий двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Mavi Ticari Kapı V4 (Barikat Yok),蓝色商业双开门 V4 (无障碍),藍色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Brown_NoBarricade,blocks,block,,,Brown Commercial Double Door V4 (No Barricade),,Braune Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Marrón V4 (Sin Barricada),Double porte de commerce Marronhe V4 (Sans Barrière),Porta di emergenza doppia Marrone V4 (Senza Barriera),業務用ダブルドア V4（茶色） (バリケードなし),갈색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Brązowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Коричневый двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Kahverengi Ticari Kapı V4 (Barikat Yok),棕色商业双开门 V4 (无障碍),棕色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Green_NoBarricade,blocks,block,,,Green Commercial Double Door V4 (No Barricade),,Grüne Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Verde V4 (Sin Barricada),Double porte de commerce Verthe V4 (Sans Barrière),Porta di emergenza doppia Verde V4 (Senza Barriera),業務用ダブルドア V4（緑） (バリケードなし),초록색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Zielony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Зелёный двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Yeşil Ticari Kapı V4 (Barikat Yok),绿色商业双开门 V4 (无障碍),綠色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Grey_NoBarricade,blocks,block,,,Gray Commercial Double Door V4 (No Barricade),,Graue Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Gris V4 (Sin Barricada),Double porte de commerce Grishe V4 (Sans Barrière),Porta di emergenza doppia Grigio V4 (Senza Barriera),業務用ダブルドア V4（灰色） (バリケードなし),회색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Szary, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Серый двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Gri Ticari Kapı V4 (Barikat Yok),灰色商业双开门 V4 (无障碍),灰色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Oak_NoBarricade,blocks,block,,,White Commercial Double Door V4 (No Barricade),,Weiße Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial blanca V4 (Sin Barricada),Double porte de commerce blanche V4 (Sans Barrière),Porta di emergenza doppia bianca V4 (Senza Barriera),業務用ダブルドア V4（白） (バリケードなし),흰색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – białe, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Белая двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V4 (Barikat Yok),白色商业双开门 V4 (无障碍),白色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Orange_NoBarricade,blocks,block,,,Orange Commercial Double Door V4 (No Barricade),,Orangee Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Naranja V4 (Sin Barricada),Double porte de commerce Orangehe V4 (Sans Barrière),Porta di emergenza doppia Arancione V4 (Senza Barriera),業務用ダブルドア V4（オレンジ） (バリケードなし),오렌지색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Pomarańczowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Оранжевый двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Turuncu Ticari Kapı V4 (Barikat Yok),橙色商业双开门 V4 (无障碍),橙色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Pink_NoBarricade,blocks,block,,,Pink Commercial Double Door V4 (No Barricade),,Rosae Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Rosa V4 (Sin Barricada),Double porte de commerce Rosehe V4 (Sans Barrière),Porta di emergenza doppia Rosa V4 (Senza Barriera),業務用ダブルドア V4（ピンク） (バリケードなし),분홍색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Różowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Розовый двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Pembe Ticari Kapı V4 (Barikat Yok),粉色商业双开门 V4 (无障碍),粉紅色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Purple_NoBarricade,blocks,block,,,Purple Commercial Double Door V4 (No Barricade),,Lilae Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Púrpura V4 (Sin Barricada),Double porte de commerce Violethe V4 (Sans Barrière),Porta di emergenza doppia Viola V4 (Senza Barriera),業務用ダブルドア V4（紫） (バリケードなし),보라색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Fioletowy, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Фиолетовый двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Mor Ticari Kapı V4 (Barikat Yok),紫色商业双开门 V4 (无障碍),紫色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Red_NoBarricade,blocks,block,,,Red Commercial Double Door V4 (No Barricade),,Rote Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Rojo V4 (Sin Barricada),Double porte de commerce Rougehe V4 (Sans Barrière),Porta di emergenza doppia Rosso V4 (Senza Barriera),業務用ダブルドア V4（赤） (バリケードなし),빨간색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Czerwony, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Красный двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Kırmızı Ticari Kapı V4 (Barikat Yok),红色商业双开门 V4 (无障碍),紅色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4White_NoBarricade,blocks,block,,,White Commercial Double Door V4 (No Barricade),,Weiße Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Blanco V4 (Sin Barricada),Double porte de commerce Blanche V4 (Sans Barrière),Porta di emergenza doppia Bianco V4 (Senza Barriera),業務用ダブルドア V4（白） (バリケードなし),흰색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Biały, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Белый двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Beyaz Ticari Kapı V4 (Barikat Yok),白色商业双开门 V4 (无障碍),白色商業雙門 V4 (無障礙)
JC_commercialDoorDoubleV4Yellow_NoBarricade,blocks,block,,,Yellow Commercial Double Door V4 (No Barricade),,Gelbe Industriedoppeltür V4 (Ohne Barrikade),Puerta doble comercial Amarillo V4 (Sin Barricada),Double porte de commerce Jaunehe V4 (Sans Barrière),Porta di emergenza doppia Giallo V4 (Senza Barriera),業務用ダブルドア V4（黄色） (バリケードなし),노란색 상업용 이중문 V4 (방어막 없음),"Drzwi przedsiębiorstwa V4 – Żółty, podwójne (Bez Wzmocnienia)",Porta dupla comercial branca V4 (Sem Barreira),Жёлтый двойная промышленная дверь V4 (Без Баррикады),Çift Kanatlı Sarı Ticari Kapı V4 (Barikat Yok),黄色商业双开门 V4 (无障碍),黃色商業雙門 V4 (無障礙)
JC_commercialDoorV1Blue_NoBarricade,blocks,block,,,Blue Commercial Door V1 (No Barricade),,Blaue Industrietür V1 (Ohne Barrikade),Puerta comercial Azul V1 (Sin Barricada),Porte de commerce Bleuhe V1 (Sans Barrière),Porta di emergenza Blu V1 (Senza Barriera),業務用ドア V1（青） (バリケードなし),파란색 상업용 문 V1 (방어막 없음),Drzwi przedsiębiorstwa V1 – Niebieski (Bez Wzmocnienia),Porta comercial branca V1 (Sem Barreira),Синий промышленная дверь V1 (Без Баррикады),Mavi Ticari Kapı V1 (Barikat Yok),蓝色商业门 V1 (无障碍),藍色商業門 V1 (無障礙)
JC_commercialDoorV1Brown_NoBarricade,blocks,block,,,Brown Commercial Door V1 (No Barricade),,Braune Industrietür V1 (Ohne Barrikade),Puerta comercial Marrón V1 (Sin Barricada),Porte de commerce Marronhe V1 (Sans Barrière),Porta di emergenza Marrone V1 (Senza Barriera),業務用ドア V1（茶色） (バリケードなし),갈색 상업용 문 V1 (방어막 없음),Drzwi przedsiębiorstwa V1 – Brązowy (Bez Wzmocnienia),Porta comercial branca V1 (Sem Barreira),Коричневый промышленная дверь V1 (Без Баррикады),Kahverengi Ticari Kapı V1 (Barikat Yok),棕色商业门 V1 (无障碍),棕色商業門 V1 (無障礙)
JC_commercialDoorV1Green_NoBarricade,blocks,block,,,Green Commercial Door V1 (No Barricade),,Grüne Industrietür V1 (Ohne Barrikade),Puerta comercial Verde V1 (Sin Barricada),Porte de commerce Verthe V1 (Sans Barrière),Porta di emergenza Verde V1 (Senza Barriera),業務用ドア V1（緑） (バリケードなし),초록색 상업용 문 V1 (방어막 없음),Drzwi przedsiębiorstwa V1 – Zielony (Bez Wzmocnienia),Porta comercial branca V1 (Sem Barreira),Зелёный промышленная дверь V1 (Без Баррикады),Yeşil Ticari Kapı V1 (Barikat Yok),绿色商业门 V1 (无障碍),綠色商業門 V1 (無障礙)
JC_commercialDoorV1Grey_NoBarricade,blocks,block,,,Gray Commercial Door V1 (No Barricade),,Graue Industrietür V1 (Ohne Barrikade),Puerta comercial Gris V1 (Sin Barricada),Porte de commerce Grishe V1 (Sans Barrière),Porta di emergenza Grigio V1 (Senza Barriera),業務用ドア V1（灰色） (バリケードなし),회색 상업용 문 V1 (방어막 없음),Drzwi przedsiębiorstwa V1 – Szary (Bez Wzmocnienia),Porta comercial branca V1 (Sem Barreira),Серый промышленная дверь V1 (Без Баррикады),Gri Ticari Kapı V1 (Barikat Yok),灰色商业门 V1 (无障碍),灰色商業門 V1 (無障礙)
JC_commercialDoorV1Oak_NoBarricade,blocks,block,,,White Commercial Door V1 (No Barricade),,Weiße Industrietür V1 (Ohne Barrikade),Puerta comercial blanca V1 (Sin Barricada),Porte de commerce blanche V1 (Sans Barrière),Porta di emergenza bianca V1 (Senza Barriera),業務用ドア V1（白） (バリケードなし),흰색 상업용 문 V1 (방어막 없음),Drzwi przedsiębiorstwa V1 – białe (Bez Wzmocnienia),Porta comercial branca V1 (Sem Barreira),Белая промышленная дверь V1 (Без Баррикады),Beyaz Ticari Kapı V1 (Barikat Yok),白色商业门 V1 (无障碍),白色商業門 V1 (無障礙)
JC_commercialDoorV1Orange_NoBarricade,blocks,block,,,Orange Commercial Door V1 (No Barricade),,Orangee Industrietür V1 (Ohne Barrikade),Puerta comercial Naranja V1 (Sin Barricada),Porte de commerce Orangehe V1 (Sans Barrière),Porta di emergenza Arancione V1 (Senza Barriera),業務用ドア V1（オレンジ） (バリケードなし),오렌지색 상업용 문 V1 (방어막 없음),Drzwi przedsiębiorstwa V1 – Pomarańczowy (Bez Wzmocnienia),Porta comercial branca V1 (Sem Barreira),Оранжевый промышленная дверь V1 (Без Баррикады),Turuncu Ticari Kapı V1 (Barikat Yok),橙色商业门 V1 (无障碍),橙色商業門 V1 (無障礙)
